user_input,retrieved_contexts,response,reference,faithfulness,context_precision,context_recall,answer_relevancy
What is an insurance policy document?,"['HEALTH INSURANCE POLICY –RETAIL \n \nThis Policy  is issued to the Insured  based on the Proposal  and declaration together with any statement, repor t or \nother document which shall be the basis of this contract and shall be deemed to be incorporated herein, to Insurer  \nupon payment of the Premium.  This Policy  records the agreement between Insurer  and Insured  and sets out the \nterms of insurance and the obligations of each party. \n \nThe Policy, the Schedule and any Endorsement shall be read together and any word or expression to whic h a \nspecific meaning has been attached in any part of this Policy or of Schedule shall bear such meaning whenever \nit may appear. \n  \nSubject to the terms, Conditions, exclusions and de finitions contained herein or endorsed or otherwise  \nexpressed hereon, Insurer undertakes to pay the Insured Person the hospitalization expenses arising out of an', 'This Policy  is issued to the Insured  based on the Proposal  and declaration together with any statement, repor t or \nother document which shall be the basis of this contract and shall be deemed to be incorporated herein, to Insurer  \nupon payment of the Premium.  This Policy  records the agreement between Insurer  and Insured  and sets out the \nterms of insurance and the obligations of each party. \n \nThe Policy, the Schedule and any Endorsement shall be read together and any word or expression to whic h a \nspecific meaning has been attached in any part of this Policy or of Schedule shall bear such meaning whenever \nit may appear. \n  \nSubject to the terms, Conditions, exclusions and de finitions contained herein or endorsed or otherwise  \nexpressed hereon, Insurer undertakes to pay the Insured Person the hospitalization expenses arising out of an \nInjury or Illness/Disease and that are reasonably and necessarily incurred by or on behalf of such Insured Person,', 'This Policy  is issued to the Insured  based on the Proposal  and declaration together with any statement, repor t or \nother document which shall be the basis of this contract and shall be deemed to be incorporated herein, to Insurer  \nupon payment of the Premium.  This Policy  records the agreement between Insurer  and Insured  and sets out the \nterms of insurance and the obligations of each party. \n \nThe Policy, the Schedule and any Endorsement shall be read together and any word or expression to whic h a \nspecific meaning has been attached in any part of this Policy or of Schedule shall bear such meaning whenever \nit may appear. \n  \nSubject to the terms, Conditions, exclusions and de finitions contained herein or endorsed or otherwise  \nexpressed hereon, Insurer undertakes to pay the Insured Person the hospitalization expenses arising out of an \nInjury or Illness/Disease and that are reasonably and necessarily incurred by or on behalf of such Insured Person,']","According to the context, an insurance policy document is referred to as the ""Policy"" and it records the agreement between the Insurer and the Insured, setting out the terms of insurance and the obligations of each party.","An insurance policy document outlines the terms, coverage, exclusions, and premiums of the insurance agreement.",,,,
What is proof of loss?,"['UIN: SBIHLIP11002V021011 I IRDAI Reg No.144 \nq)  Observance of terms and conditions: The due observance and fulfillment of the terms,  c onditions and \nendorsements of this Policy in so far as they relate to anything to be done or complied with by the Insured  / \nInsured Person , shall be a condition precedent to any liability of the Insurer   to make any payment under this \nPolicy. \nr)  Forfeiture of claims: If any claim is made and rejected and no court action or suit commenced within 12 months \nafter such rejection or, in case of arbitration taking place as provided herein, within 12 calendar months after \nthe Arbitrator or Arbitrators have made their award, all benefits under this Policy shall be forfeited. \ns)  Position after a claim: As from the day of receipt of the claim amount by the Insured /Insured Person , the Sum \nInsured and / or duration of cover for the remainder of the  period of insurance shall stand reduced by a \ncorresponding amount.', 'q)  Observance of terms and conditions: The due observance and fulfillment of the terms,  c onditions and \nendorsements of this Policy in so far as they relate to anything to be done or complied with by the Insured  / \nInsured Person , shall be a condition precedent to any liability of the Insurer   to make any payment under this \nPolicy. \nr)  Forfeiture of claims: If any claim is made and rejected and no court action or suit commenced within 12 months \nafter such rejection or, in case of arbitration taking place as provided herein, within 12 calendar months after \nthe Arbitrator or Arbitrators have made their award, all benefits under this Policy shall be forfeited. \ns)  Position after a claim: As from the day of receipt of the claim amount by the Insured /Insured Person , the Sum \nInsured and / or duration of cover for the remainder of the  period of insurance shall stand reduced by a \ncorresponding amount.', 'q)  Observance of terms and conditions: The due observance and fulfillment of the terms,  c onditions and \nendorsements of this Policy in so far as they relate to anything to be done or complied with by the Insured  / \nInsured Person , shall be a condition precedent to any liability of the Insurer   to make any payment under this \nPolicy. \nr)  Forfeiture of claims: If any claim is made and rejected and no court action or suit commenced within 12 months \nafter such rejection or, in case of arbitration taking place as provided herein, within 12 calendar months after \nthe Arbitrator or Arbitrators have made their award, all benefits under this Policy shall be forfeited. \ns)  Position after a claim: As from the day of receipt of the claim amount by the Insured /Insured Person , the Sum \nInsured and / or duration of cover for the remainder of the  period of insurance shall stand reduced by a \ncorresponding amount.']",The context does not contain the answer.,"Proof of loss is documentation demonstrating that a financial loss occurred, often required for insurance claims.",,,,
What is workers' compensation?,"['“Schedule ” means that portion of the Policy  which sets out Insured  details, the type of Insurance  cover in \nforce, the Policy Period  and the Sum Insured .  Any Annexure and/or Endorsement to the Schedule  shall \nalso be a part of the Schedule . \n \n“Sum Insured ” means the specified amount mentioned in the Schedule  to this Policy which represents the \nInsurer’s  maximum liability for any or all claims under this  policy during the currency of the Policy subject \nto terms and conditions as stated in the Policy. \n \n “Surgical Operation ” means manual and/or operative procedures required  for treatment of a Disease  / \nIllness or Accidental Bodily Injury, correction of deformities and defects, diagnosis and cure of Disease s, \nrelief of suffering or prolongation of life, perfor med in a Hospital  or day care centre by a Medical \nPractitioner . \n \n“Waiting Period: ” No benefit shall be payable during the term of th e Policy  for the claim which occurs or', '“Schedule ” means that portion of the Policy  which sets out Insured  details, the type of Insurance  cover in \nforce, the Policy Period  and the Sum Insured .  Any Annexure and/or Endorsement to the Schedule  shall \nalso be a part of the Schedule . \n \n“Sum Insured ” means the specified amount mentioned in the Schedule  to this Policy which represents the \nInsurer’s  maximum liability for any or all claims under this  policy during the currency of the Policy subject \nto terms and conditions as stated in the Policy. \n \n “Surgical Operation ” means manual and/or operative procedures required  for treatment of a Disease  / \nIllness or Accidental Bodily Injury, correction of deformities and defects, diagnosis and cure of Disease s, \nrelief of suffering or prolongation of life, perfor med in a Hospital  or day care centre by a Medical \nPractitioner . \n \n“Waiting Period: ” No benefit shall be payable during the term of th e Policy  for the claim which occurs or', 'UIN: SBIHLIP11002V021011 I IRDAI Reg No.144 \n“Schedule ” means that portion of the Policy  which sets out Insured  details, the type of Insurance  cover in \nforce, the Policy Period  and the Sum Insured .  Any Annexure and/or Endorsement to the Schedule  shall \nalso be a part of the Schedule . \n \n“Sum Insured ” means the specified amount mentioned in the Schedule  to this Policy which represents the \nInsurer’s  maximum liability for any or all claims under this  policy during the currency of the Policy subject \nto terms and conditions as stated in the Policy. \n \n “Surgical Operation ” means manual and/or operative procedures required  for treatment of a Disease  / \nIllness or Accidental Bodily Injury, correction of deformities and defects, diagnosis and cure of Disease s, \nrelief of suffering or prolongation of life, perfor med in a Hospital  or day care centre by a Medical \nPractitioner .']",The context does not contain the answer.,Workers' compensation provides wage replacement and medical benefits to employees injured during employment.,,,,
What is a witness statement?,"['Communications: \n1. Any communication meant for Insurer  must be in writing and be delivered to Insurer’s  address \nshown in the Schedule . Any communication meant for Insured  will be sent by Insurer  to Insured’s  \naddress shown in the Schedule /Endorsement. \n2. All notifications and declarations for Insurer  must be in writing and sent to the address specifi ed \nin the Schedule . Agents are not authorized to receive notices and declarations on Insurer’s  behalf. \n3. Insured  must notify Insurer  of any change in address. \ne)  Unhindered access \nThe Insured/Insured person shall extend all possible support & co-operation including necessary authorisation \nto the insurer for accessing the medical records and medical practitioners who have attended to the patient. \n \nf)  Claims Procedures   \n \nI.  Claims Procedure for Reimbursement: \n1. The Insured  shall without any delay consult a Doctor and follo w the advice and treatment', 'Communications: \n1. Any communication meant for Insurer  must be in writing and be delivered to Insurer’s  address \nshown in the Schedule . Any communication meant for Insured  will be sent by Insurer  to Insured’s  \naddress shown in the Schedule /Endorsement. \n2. All notifications and declarations for Insurer  must be in writing and sent to the address specifi ed \nin the Schedule . Agents are not authorized to receive notices and declarations on Insurer’s  behalf. \n3. Insured  must notify Insurer  of any change in address. \ne)  Unhindered access \nThe Insured/Insured person shall extend all possible support & co-operation including necessary authorisation \nto the insurer for accessing the medical records and medical practitioners who have attended to the patient. \n \nf)  Claims Procedures   \n \nI.  Claims Procedure for Reimbursement: \n1. The Insured  shall without any delay consult a Doctor and follo w the advice and treatment', '\uf0b7 Duly filled Claim form,  \n\uf0b7 Valid Photo Identity Card \n\uf0b7 Original Discharge card/certificate/ death summary \n\uf0b7 Copies of prescription for diagnostic test, treatment advise, medical references \n\uf0b7 Original set of investigation reports \n\uf0b7 Itemized original hospital bill and receipts Hospital and related original medical expense \nreceipt Pharmacy bills in original with prescriptions \n \nIV.  Claims Processing \nOn receipt of claim documents from Insured , Insurer/Administrator  shall assess the admissibility of claim \nas per Policy terms and conditions.   Upon satisfac tory completion of assessment and admission of clai m, \nthe Insurer  will make the payment of benefit as per the contra ct.  In case the claim is repudiated Insurer  \nwill inform the Insured  about the same in writing with reason for repudiation.  \n \ng)  Cumulative Bonus  \nIf no claim has been made under the policy with us and the policy is renewed with us and without any break']",The context does not contain the answer.,A witness statement is a written account from someone who saw or heard events relevant to a claim.,,,,
What is an affidavit?,"['discharge from hospital. \n5. The Insured shall submit himself for examination by the Insurer’s medical advisors as often as may \nbe considered necessary by the Insurer for establishing the liability under the Policy.  The Insurer \nwill reimburse the amount towards the expenses incurred for the said medical examination to the \nInsured. \n6. Insured  must submit all original bills, receipts, certific ates, information and evidences from the \nattending Medical Practitioner  /Hospital /Diagnostic Laboratory as required by Insurer .', 'Communications: \n1. Any communication meant for Insurer  must be in writing and be delivered to Insurer’s  address \nshown in the Schedule . Any communication meant for Insured  will be sent by Insurer  to Insured’s  \naddress shown in the Schedule /Endorsement. \n2. All notifications and declarations for Insurer  must be in writing and sent to the address specifi ed \nin the Schedule . Agents are not authorized to receive notices and declarations on Insurer’s  behalf. \n3. Insured  must notify Insurer  of any change in address. \ne)  Unhindered access \nThe Insured/Insured person shall extend all possible support & co-operation including necessary authorisation \nto the insurer for accessing the medical records and medical practitioners who have attended to the patient. \n \nf)  Claims Procedures   \n \nI.  Claims Procedure for Reimbursement: \n1. The Insured  shall without any delay consult a Doctor and follo w the advice and treatment', 'Communications: \n1. Any communication meant for Insurer  must be in writing and be delivered to Insurer’s  address \nshown in the Schedule . Any communication meant for Insured  will be sent by Insurer  to Insured’s  \naddress shown in the Schedule /Endorsement. \n2. All notifications and declarations for Insurer  must be in writing and sent to the address specifi ed \nin the Schedule . Agents are not authorized to receive notices and declarations on Insurer’s  behalf. \n3. Insured  must notify Insurer  of any change in address. \ne)  Unhindered access \nThe Insured/Insured person shall extend all possible support & co-operation including necessary authorisation \nto the insurer for accessing the medical records and medical practitioners who have attended to the patient. \n \nf)  Claims Procedures   \n \nI.  Claims Procedure for Reimbursement: \n1. The Insured  shall without any delay consult a Doctor and follo w the advice and treatment']",The context does not contain the answer.,"An affidavit is a written statement sworn under oath, often required to provide additional information for a claim.",,,,
What is co-insurance?,"['This Policy  is issued to the Insured  based on the Proposal  and declaration together with any statement, repor t or \nother document which shall be the basis of this contract and shall be deemed to be incorporated herein, to Insurer  \nupon payment of the Premium.  This Policy  records the agreement between Insurer  and Insured  and sets out the \nterms of insurance and the obligations of each party. \n \nThe Policy, the Schedule and any Endorsement shall be read together and any word or expression to whic h a \nspecific meaning has been attached in any part of this Policy or of Schedule shall bear such meaning whenever \nit may appear. \n  \nSubject to the terms, Conditions, exclusions and de finitions contained herein or endorsed or otherwise  \nexpressed hereon, Insurer undertakes to pay the Insured Person the hospitalization expenses arising out of an \nInjury or Illness/Disease and that are reasonably and necessarily incurred by or on behalf of such Insured Person,', 'This Policy  is issued to the Insured  based on the Proposal  and declaration together with any statement, repor t or \nother document which shall be the basis of this contract and shall be deemed to be incorporated herein, to Insurer  \nupon payment of the Premium.  This Policy  records the agreement between Insurer  and Insured  and sets out the \nterms of insurance and the obligations of each party. \n \nThe Policy, the Schedule and any Endorsement shall be read together and any word or expression to whic h a \nspecific meaning has been attached in any part of this Policy or of Schedule shall bear such meaning whenever \nit may appear. \n  \nSubject to the terms, Conditions, exclusions and de finitions contained herein or endorsed or otherwise  \nexpressed hereon, Insurer undertakes to pay the Insured Person the hospitalization expenses arising out of an \nInjury or Illness/Disease and that are reasonably and necessarily incurred by or on behalf of such Insured Person,', 'HEALTH INSURANCE POLICY –RETAIL \n \nThis Policy  is issued to the Insured  based on the Proposal  and declaration together with any statement, repor t or \nother document which shall be the basis of this contract and shall be deemed to be incorporated herein, to Insurer  \nupon payment of the Premium.  This Policy  records the agreement between Insurer  and Insured  and sets out the \nterms of insurance and the obligations of each party. \n \nThe Policy, the Schedule and any Endorsement shall be read together and any word or expression to whic h a \nspecific meaning has been attached in any part of this Policy or of Schedule shall bear such meaning whenever \nit may appear. \n  \nSubject to the terms, Conditions, exclusions and de finitions contained herein or endorsed or otherwise  \nexpressed hereon, Insurer undertakes to pay the Insured Person the hospitalization expenses arising out of an']",The context does not contain the answer.,"Co-insurance is the percentage of costs the insured must pay for covered services, with the insurer paying the remaining percentage.",,,,
What is preventive care?,"['certification by Gynecologist that it is life threatening.  \n22. Any fertility, sub fertility or assisted conception operation or sterilization procedure and related treatment. \n23.  Vaccination or inoculation except as part of post-bite treatment for animal bite. \n24.  Vitamins, tonics, nutritional supplements unless f orming part of the treatment for injury or disease as \ncertified by the attending Medical Practitioner . \n25. Surgery to correct deviated septum and hypertrophied turbinate unless necessitated by an accidental body \ninjury and proved to our satisfaction that the condition is a result of an accidental injury. \n26. Treatment for any mental illness or psychiatric or psychological ailment / condition. \n27. Medical Practitioner ’s home visit Expenses during pre and post hospital ization period, Attendant Nursing \nExpenses unless more than 60 years as specified in the parental care benefit.', 'of the following: \n \n1. Pre existing Diseases Exclusion: \n \nBenefits will not be available for Any condition, w hether diagnosed or not, ailment or injury or relat ed \ncondition(s) for which Insured  has been diagnosed, received medical treatment,  h ad signs and / or \nsymptoms, prior to inception of Insured’s  first Policy, until 48 consecutive months have elapsed, after the \ndate of inception of the first Policy with Insurer . It would also mean any direct or indirect complic ations \narising out of pre-existing conditions whether known or unknown to the Insured . \n \nThis Exclusion shall cease to apply if Insured  has maintained the Health Insurance Policy with Insurer  for a \ncontinuous period of a full 4 years without break f rom the date of Insured’s  first Health Insurance Policy \nwith Insurer . \n \nThis Exclusion shall also apply to the extent of th e amount by which the limit of indemnity has been', '1. Pre existing Diseases Exclusion: \n \nBenefits will not be available for Any condition, w hether diagnosed or not, ailment or injury or relat ed \ncondition(s) for which Insured  has been diagnosed, received medical treatment,  h ad signs and / or \nsymptoms, prior to inception of Insured’s  first Policy, until 48 consecutive months have elapsed, after the \ndate of inception of the first Policy with Insurer . It would also mean any direct or indirect complic ations \narising out of pre-existing conditions whether known or unknown to the Insured . \n \nThis Exclusion shall cease to apply if Insured  has maintained the Health Insurance Policy with Insurer  for a \ncontinuous period of a full 4 years without break f rom the date of Insured’s  first Health Insurance Policy \nwith Insurer . \n \nThis Exclusion shall also apply to the extent of th e amount by which the limit of indemnity has been']",The context does not contain the answer.,"Preventive care includes medical services like vaccinations, screenings, and check-ups to prevent illness.",,,,
What is a network in health insurance?,"['members of the Insured . \n \n“Mental Illness/Disease ” means any mental Disease  or bodily condition marked by disorganization of \npersonality, mind, and emotions to impair the norma l psychological, social or work performance of the \nindividual regardless of its cause or origin. \n \n“Network Hospital ” means the institutions (Hospitals/Nursing Homes a s defined earlier) named on a list \nmaintained by and available from the Administrator , and the same list may be amended from time to time \nby Administrator  and Insurer .', 'members of the Insured . \n \n“Mental Illness/Disease ” means any mental Disease  or bodily condition marked by disorganization of \npersonality, mind, and emotions to impair the norma l psychological, social or work performance of the \nindividual regardless of its cause or origin. \n \n“Network Hospital ” means the institutions (Hospitals/Nursing Homes a s defined earlier) named on a list \nmaintained by and available from the Administrator , and the same list may be amended from time to time \nby Administrator  and Insurer .', 'members of the Insured . \n \n“Mental Illness/Disease ” means any mental Disease  or bodily condition marked by disorganization of \npersonality, mind, and emotions to impair the norma l psychological, social or work performance of the \nindividual regardless of its cause or origin. \n \n“Network Hospital ” means the institutions (Hospitals/Nursing Homes a s defined earlier) named on a list \nmaintained by and available from the Administrator , and the same list may be amended from time to time \nby Administrator  and Insurer .']",The context does not contain the answer.,"A network is a list of healthcare providers contracted with the insurer, offering discounted rates to policyholders.",,,,
What is Medicare?,"['accessible part of the body and which is abnormal with reference to form, structure or Position. \n \n“Family ” means and includes Insured Person /Insured Person ’s legal Spouse, Insured Person ’s legal & \ndependent children and dependent parents \n \n“Grace Period ” means the specified period of 15 days  immediately following the premium due date during \nwhich a payment can be made to renew or continue a Policy  in force without loss of continuity benefits \nsuch as waiting periods and coverage of Pre-existing condition / Diseases . Coverage is not available for the \nperiod for which no premium is received.  \n \n“Hospital/Nursing Home ”: means any institution established for in- patient care and day care treatment of \nsickness and / or injuries and which has been registered as a Hospital  with the local authorities, wherever \napplicable, and is under the supervision of a registered and qualified Medical Practitioner OR must comply \nwith all minimum criteria as under:', '“Administrator ” means any third party administrator engaged by the Insurer  for providing Policy  and claims \nfacilitation services to the Insured  as well as to the Insurer  and who is duly licensed by IRDA for the said \npurpose. \n \n“Age ” means completed years as at the Commencement Date of the Policy Period . \n \n“Any One Illness ” means any continuous period of illness and which includes a relapse within 45 days from \nthe date of discharge from the Hospital/Nursing Home where treatment may have been taken and for which \na claim had been made with the Insurer.  Occurrence of same illness after a lapse of 45 days as stated above \nwill be considered as fresh illness for the purpose of this Policy. \n \n“Co-Payment ” means the agreed share of the claim amount which is to be borne by the Insured  for each \nHospitalisation /claim.  \n \n“Day Care Expenses”  means the Reasonable and Customary Expenses incurred towards  medical treatment', '“Administrator ” means any third party administrator engaged by the Insurer  for providing Policy  and claims \nfacilitation services to the Insured  as well as to the Insurer  and who is duly licensed by IRDA for the said \npurpose. \n \n“Age ” means completed years as at the Commencement Date of the Policy Period . \n \n“Any One Illness ” means any continuous period of illness and which includes a relapse within 45 days from \nthe date of discharge from the Hospital/Nursing Home where treatment may have been taken and for which \na claim had been made with the Insurer.  Occurrence of same illness after a lapse of 45 days as stated above \nwill be considered as fresh illness for the purpose of this Policy. \n \n“Co-Payment ” means the agreed share of the claim amount which is to be borne by the Insured  for each \nHospitalisation /claim.  \n \n“Day Care Expenses”  means the Reasonable and Customary Expenses incurred towards  medical treatment']",The context does not contain the answer.,Medicare is a government program that provides health coverage to individuals 65+ and certain disabled persons.,,,,
What is Medicaid?,"['accessible part of the body and which is abnormal with reference to form, structure or Position. \n \n“Family ” means and includes Insured Person /Insured Person ’s legal Spouse, Insured Person ’s legal & \ndependent children and dependent parents \n \n“Grace Period ” means the specified period of 15 days  immediately following the premium due date during \nwhich a payment can be made to renew or continue a Policy  in force without loss of continuity benefits \nsuch as waiting periods and coverage of Pre-existing condition / Diseases . Coverage is not available for the \nperiod for which no premium is received.  \n \n“Hospital/Nursing Home ”: means any institution established for in- patient care and day care treatment of \nsickness and / or injuries and which has been registered as a Hospital  with the local authorities, wherever \napplicable, and is under the supervision of a registered and qualified Medical Practitioner OR must comply \nwith all minimum criteria as under:', 'Insured  for medical treatment of Disease , illness or injury that may be the subject matter of claim as an In-\npatient in a Hospital  / Nursing Home/Day Care Centre, and includes the costs of a bed; treatment and care \nby medical staff; medical procedures; Medical Practitioner ’s fees; medicines and consumables including \ncost of pacemaker, implants,  as long as these are recommended by the attending Medical Practitioner . \n \n“Medical Practitioner”: means a person who holds a valid registration from the medical council of any state \nof India and is thereby entitled to practice medici ne within its jurisdiction; and is acting within th e scope \nand jurisdiction of his license. The term Medical Practitioner would include Physician, Specialist and \nSurgeon. The registered Medical Practitioner  should not be the  Insured  or any one of the close family \nmembers of the Insured . \n \n“Mental Illness/Disease ” means any mental Disease  or bodily condition marked by disorganization of', 'Insured  for medical treatment of Disease , illness or injury that may be the subject matter of claim as an In-\npatient in a Hospital  / Nursing Home/Day Care Centre, and includes the costs of a bed; treatment and care \nby medical staff; medical procedures; Medical Practitioner ’s fees; medicines and consumables including \ncost of pacemaker, implants,  as long as these are recommended by the attending Medical Practitioner . \n \n“Medical Practitioner”: means a person who holds a valid registration from the medical council of any state \nof India and is thereby entitled to practice medici ne within its jurisdiction; and is acting within th e scope \nand jurisdiction of his license. The term Medical Practitioner would include Physician, Specialist and \nSurgeon. The registered Medical Practitioner  should not be the  Insured  or any one of the close family \nmembers of the Insured . \n \n“Mental Illness/Disease ” means any mental Disease  or bodily condition marked by disorganization of']",The context does not contain the answer.,Medicaid is a government program providing health coverage to low-income individuals and families.,,,,
